Price,Open,High,Low,Close,Adj Close,Volume
2006-01-01,6457.579935440416,6797.168693637753,6373.600344177509,6532.14990234375,6532.14990234375,78559000
2006-02-01,6592.159526973594,6747.399045115643,6466.180127739558,6561.599609375,6561.599609375,54602800
2006-03-01,6517.970165836977,6685.419594697125,6344.700939396554,6613.93994140625,6613.93994140625,60249600
2006-04-01,6627.289141733402,7229.316627952912,6615.949350483448,7171.73681640625,7171.73681640625,79525600
2006-05-01,7174.896917185032,7476.035169722959,6791.07838384169,6846.91845703125,6846.91845703125,96943200
2006-06-01,6874.628112695851,6967.347407081413,6268.890701743327,6704.37890625,6704.37890625,68433000
2006-07-01,6727.198937148554,6789.518473787682,6232.461474069417,6454.55029296875,6454.55029296875,56267200
2006-08-01,6464.560244209179,6761.759078725475,6405.060516642963,6611.73974609375,6611.73974609375,63904600
2006-09-01,6631.799498237568,6961.887819917469,6549.999582456369,6883.01806640625,6883.01806640625,58566000
2006-10-01,6907.398952312285,7159.817733180369,6874.94890368352,7021.2880859375,7021.2880859375,65603400
2006-11-01,7036.037137779144,7567.68505859375,7005.097340106051,7567.68505859375,7567.68505859375,99295400
2006-12-01,7587.474723719081,7823.68408203125,7369.055810587475,7823.68408203125,7823.68408203125,100106200
2007-01-01,7871.374215704936,7999.383396842449,7599.515105445967,7699.60498046875,7699.60498046875,96653400
2007-02-01,7751.263402846361,7950.162859390548,7679.743719189151,7901.9228515625,7901.9228515625,38309000
2007-03-01,7707.593605485216,7927.9924704777295,7306.035436905114,7884.373046875,7884.373046875,83342200
2007-04-01,7888.133241493117,8108.4622950723115,7843.013334116403,7875.38330078125,7875.38330078125,80897000
2007-05-01,7900.7232951687465,8256.211888576116,7861.393886873117,8144.91259765625,8144.91259765625,72801400
2007-06-01,8236.721734794788,8985.888197596692,8224.242300227696,8883.1689453125,8883.1689453125,95335800
2007-07-01,8903.729272964758,9807.86580990396,8849.309597148771,9287.2080078125,9287.2080078125,175237000
2007-08-01,9188.55765107663,9265.6578849464,7987.573389114113,8982.119140625,8982.119140625,117799200
2007-09-01,9018.849409921859,9474.007535437502,8841.600200737266,9411.908203125,9411.908203125,78094400
2007-10-01,9523.936413683108,9859.604782850087,9275.676819875074,9711.3251953125,9711.3251953125,115958000
2007-11-01,9780.544236087857,9785.704368275641,8207.931452152045,8586.3603515625,8586.3603515625,101083200
2007-12-01,8623.079528159838,8804.888242694664,7664.58403981948,8506.240234375,8506.240234375,81858000
2008-01-01,8491.531171373757,8546.160802374749,7384.5758245891975,7521.09521484375,7521.09521484375,110618000
2008-02-01,7613.543842618806,8473.669631793178,7530.334277704599,8412.7197265625,8412.7197265625,66958400
2008-03-01,8213.661832476826,9049.188203494,7900.76290328163,8572.5498046875,8572.5498046875,119302600
2008-04-01,8593.160682011949,9194.8180717049,8419.681010960798,8919.87890625,8919.87890625,119824400
2008-05-01,8998.0177707392,9309.906946882928,8548.280602144816,8619.0400390625,8619.0400390625,110158600
2008-06-01,8638.440663210402,8809.289485321842,7466.165791561911,7523.50537109375,7523.50537109375,82064800
2008-07-01,7528.506021283727,7569.145974369638,6708.429648698251,7024.0283203125,7024.0283203125,92596000
2008-08-01,6920.718826385875,7376.656714070231,6809.929286362631,7046.078125,7046.078125,78415200
