date,PE,DividendYield,PB
2017-02-01,23.68,1.98,2.91
2017-03-01,23.6,1.96,2.91
2017-04-01,23.24,1.98,2.91
2017-05-01,23.31,1.96,2.91
2017-06-01,23.4,1.94,2.91
2017-07-01,23.36,1.94,2.91
2017-08-01,23.16,1.95,2.91
2017-09-01,23.28,1.93,2.91
2017-10-01,23.67,1.89,2.91
2017-11-01,23.81,1.88,2.91
2017-12-01,24.25,1.84,3.23
2018-01-01,24.97,1.77,3.23
2018-02-01,23.82,1.84,3.23
2018-03-01,23.41,1.85,3.23
2018-04-01,22.53,1.9,3.23
2018-05-01,22.49,1.88,3.23
2018-06-01,22.49,1.85,3.23
2018-07-01,22.33,1.84,3.23
2018-08-01,22.37,1.82,3.23
2018-09-01,22.25,1.8,3.23
2018-10-01,21.25,1.9,3.23
2018-11-01,20.67,1.96,3.23
2018-12-01,19.39,2.09,2.94
2019-01-01,19.6,2.08,2.94
2019-02-01,20.6,1.98,2.94
2019-03-01,20.86,1.96,2.94
2019-04-01,21.56,1.9,2.94
2019-05-01,21.15,1.95,2.94
2019-06-01,21.37,1.94,2.94
2019-07-01,22.28,1.88,2.94
2019-08-01,21.67,1.96,2.94
2019-09-01,22.44,1.92,2.94
2019-10-01,22.04,1.93,2.94
2019-11-01,22.62,1.86,2.94
2019-12-01,22.78,1.83,3.53
2020-01-01,24.88,1.79,3.53
2020-02-01,26.42,1.8,3.53
2020-03-01,22.8,2.25,3.53
2020-04-01,24.97,2.16,3.53
2020-05-01,27.82,2.04,3.53
2020-06-01,31.29,1.92,3.53
2020-07-01,32.44,1.85,3.53
2020-08-01,34.41,1.74,3.53
2020-09-01,34.27,1.75,3.53
2020-10-01,35.3,1.72,3.53
2020-11-01,37.16,1.65,3.53
2020-12-01,39.26,1.58,4.05
2021-01-01,35.96,1.53,4.05
2021-02-01,33.24,1.49,4.05
2021-03-01,30.5,1.47,4.05
2021-04-01,29.92,1.39,4.05
2021-05-01,28.05,1.39,4.05
2021-06-01,26.7,1.37,4.05
2021-07-01,26.56,1.34,4.05
2021-08-01,26.23,1.32,4.05
2021-09-01,25.35,1.33,4.05
2021-10-01,24.39,1.34,4.05
2021-11-01,24.52,1.29,4.05
2021-12-01,23.63,1.29,4.73
2022-01-01,23.11,1.33,4.73
2022-02-01,22.42,1.39,4.73
2022-03-01,22.19,1.41,4.73
2022-04-01,22.4,1.43,4.73
2022-05-01,20.81,1.57,4.73
2022-06-01,20.28,1.64,4.73
2022-07-01,20.53,1.65,4.73
2022-08-01,22.03,1.56,4.73
2022-09-01,20.58,1.7,4.73
2022-10-01,20.44,1.77,4.73
2022-11-01,22.07,1.69,4.73
2022-12-01,22.65,1.71,3.75
2023-01-01,22.82,1.7,3.75
2023-02-01,23.4,1.66,3.75
2023-03-01,22.66,1.72,3.75
